[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run ParseTemplate Behavior [ RunTime:0.023888s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024010s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run ContentReplace Behavior [ RunTime:0.001005s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run TokenBuild Behavior [ RunTime:0.000968s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000794s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001010s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003953s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_end ] --START--
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001025s ]
[ 2012-09-28T03:41:47+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001089s ]
[ 2012-09-28T03:41:48+08:00 ] /taodandan/Index/Public/js/jquery-ui/themes/base/jquery.ui.all.css | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:49+08:00 ] /taodandan/Index/demos.css | ERR: (ThinkException) 非法操作demos.css
[ 2012-09-28T03:41:51+08:00 ] /taodandan/Index/Public/js/jquery-ui/jquery-1.7.2.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:52+08:00 ] /taodandan/Index/Public/js/jquery-ui/external/jquery.bgiframe-2.1.2.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:53+08:00 ] /taodandan/Index/Public/js/jquery-ui/external/globalize.culture.de-DE.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:54+08:00 ] /taodandan/Index/Public/js/jquery-ui/external/globalize.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:56+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.core.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:57+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.widget.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:58+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.mouse.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:41:59+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.accordion.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:01+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.autocomplete.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:02+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.button.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:03+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.datepicker.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:05+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.dialog.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:06+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.draggable.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:07+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.droppable.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:08+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.resizable.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:10+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/i18n/jquery.ui.datepicker-ar.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:11+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.menu.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:12+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.ui.tooltip.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:13+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/jquery.effects.core.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:14+08:00 ] /taodandan/Index/Public/js/jquery-ui/ui/i18n/jquery.ui.datepicker-ka.js | ERR: (ThinkException) 非法操作public
[ 2012-09-28T03:42:00+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2012-09-28T03:42:00+08:00 ] /taodandan/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000933s ]
[ 2012-09-28T03:42:00+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000990s ]
[ 2012-09-28T03:42:00+08:00 ] /taodandan/Index/index.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:42:00+08:00 ] /taodandan/Index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000658s ]
[ 2012-09-28T03:42:00+08:00 ] /taodandan/Index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000711s ]
[ 2012-09-28T03:42:15+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in C:\xampp\htdocs\taodandan\top\Lib\Action\IndexAction.class.php on line 21 and defined UserModel.class.php 第 17 行.
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.004036s ]
