[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000950s ]
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000516s ]
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000588s ]
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000754s ]
[ 2012-06-29T13:50:42+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name = admin  [ RunTime:0.000160s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000456s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000540s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000286s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000358s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.006171s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006239s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000263s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000333s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000156s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000377s ]
